"ISO3","YEAR","u5_frac"
"NLD",2015,0.0537381902545445
"NLD",2020,0.0534203119676118
"NLD",2025,0.0539185464892862
"NLD",2030,0.053667471640277
"NOR",2010,0.0620602325272305
"NOR",2015,0.0607166288131978
"NOR",2020,0.0612419753457921
"NOR",2025,0.0610314855110684
"NOR",2030,0.0594948137141471
"NPL",2010,0.117025948881959
"NPL",2015,0.112283354855557
"NPL",2020,0.106573408377351
"NPL",2025,0.0983564867247225
"NPL",2030,0.0884831541095868
"NZL",2010,0.0714203953356763
"NZL",2015,0.0694332735778552
"NZL",2020,0.0673591774113046
"NZL",2025,0.0642383253870974
"NZL",2030,0.0594649146851202
"OMN",2010,0.101308026961996
"OMN",2015,0.0889122044350672
"OMN",2020,0.0864614436209733
"OMN",2025,0.0787322384293386
"OMN",2030,0.0720949195224405
"PAK",2010,0.123380918269218
"PAK",2015,0.120689655657358
"PAK",2020,0.115336990661054
"PAK",2025,0.106982733232331
"PAK",2030,0.0973057502672434
"PAN",2010,0.0981403654475625
"PAN",2015,0.0874445465885261
"PAN",2020,0.0809726973197829
"PAN",2025,0.07648770343675
"PAN",2030,0.072383246016595
"PER",2010,0.100057943676325
"PER",2015,0.0918886023150878
"PER",2020,0.0847240103346064
"PER",2025,0.0794814358827812
"PER",2030,0.0747788915764184
"PHL",2010,0.120676867894697
"PHL",2015,0.11168367926146
"PHL",2020,0.104611658007736
"PHL",2025,0.0982003742755261
"PHL",2030,0.0908229542999782
"PNG",2010,0.140332410553921
"PNG",2015,0.122628293033452
"PNG",2020,0.110583973531921
"PNG",2025,0.10385823228258
"PNG",2030,0.0982422043140716
"POL",2010,0.0505108857460395
"POL",2015,0.0526857793681405
"POL",2020,0.0505430028091707
"POL",2025,0.0468315846372546
"POL",2030,0.0422616945189194
"PRI",2010,0.0673361947117225
"PRI",2015,0.0620792961000278
"PRI",2020,0.0580336174504927
"PRI",2025,0.0543856942110599
"PRI",2030,0.0503495774375917
"PRK",2010,0.0700086243335672
"PRK",2015,0.0665657085902081
"PRK",2020,0.0641006336122892
"PRK",2025,0.0599416146902548
"PRK",2030,0.0525907803431367
"PRT",2010,0.0483912243765487
"PRT",2015,0.0451335315985668
"PRT",2020,0.0423532454463815
"PRT",2025,0.0407345576671377
"PRT",2030,0.0403686340205244
"PRY",2010,0.114691532234325
"PRY",2015,0.105387881659045
"PRY",2020,0.098611388416476
"PRY",2025,0.0911640856054219
"PRY",2030,0.0842292515677671
"PSE",2010,0.1535324391611
"PSE",2015,0.141610910671989
"PSE",2020,0.127047343318908
